mtime,C,CM,DL,EN,EW,FN,FR,GO,H,IS,JM,JV,KZ,MR,NT,OR,SY,V,X,XZ
2021-11-01T00:00,2893073,2406835,2156892,2768222,3369505,2704136,3077388,2875496,3396954,3542203,2515287,3198019,2681962,2211658,1891583,2854653,2330034,2840822,2337918,2294025
2021-11-01T00:05,2825721,1392568,3500584,2454878,2536391,2262478,2289424,3328764,4014950,3360747,1518017,1566507,2719430,2660149,2461919,3228282,2295957,2045338,3968245,1838953
2021-11-01T00:10,3988914,2132126,2470489,2513303,3778150,2011219,2463948,2351817,2066169,2130835,2377354,2635149,2783860,2567639,2909364,2082579,3303245,2317638,2278275,3173797
2021-11-01T00:15,3355578,2474089,2092814,3189695,1938201,1534516,2669862,2759869,2314891,2813096,1758422,2709463,3085726,3350706,2266403,2928170,3439151,3774298,2549881,2938369
2021-11-01T00:20,2128076,1839077,3138226,2987452,2614640,3476844,2352336,2717864,3356666,2255570,3484888,2281657,2411553,3482639,3264037,2297734,2621575,2142025,2100157,3884265
2021-11-01T00:25,3203613,2064622,1472973,2766970,2388441,2533542,4293637,3565649,2864572,2938952,3636560,1895824,2409525,2662012,2407473,2473921,4642617,2497202,4709349,2614188
2021-11-01T00:30,2788109,1817352,1889180,2371453,1711637,2485636,3831983,1531813,3299309,2744745,1879377,1614309,3682073,2460894,3503133,2539964,3711338,1731741,3004107,2388554
2021-11-01T00:35,2593745,1319272,2368105,1978298,3136474,2003045,2619997,2739356,3802869,4255172,2119844,2131715,2732977,1679196,2646427,2378594,3826474,2115227,2336788,2017848
2021-11-01T00:40,2866076,2276816,2394214,3407794,3240195,2410112,3013756,2193018,3606058,3000444,3559428,2115801,3377417,2792474,3053326,3087204,3622061,2269225,3497597,2946316
2021-11-01T00:45,2686579,2915014,2801162,2597150,2769208,2841850,2743172,4190872,3176779,3083862,2275987,1769166,4008577,2199473,2503131,3295375,2889362,2073451,2481237,2891683
2021-11-01T00:50,2766682,2482219,2711792,1620748,2913580,2678461,2806709,3318520,3323993,3164035,2390366,1996599,2333712,2452722,2568503,3159006,2870099,2340238,1939532,2680432
2021-11-01T00:55,3016297,3195802,2907044,2492172,2425352,2800081,2905334,2393185,3221172,2486190,2249019,2227058,3730643,2077852,1911943,2731884,3158540,2101399,2885520,2830288
2021-11-01T01:00,2361427,2951209,1837608,2453041,2616562,2916450,2978965,2534830,3522830,3227217,3107767,1835360,2643656,2645909,3019444,1741318,2463784,3367917,4368230,1838349
2021-11-01T01:05,838010,2469904,2001758,2689336,2373490,2583047,2886474,2360603,2445438,2956436,1999283,2382452,2860361,2628314,2531287,2212823,3586877,2689287,2411835,3477454
2021-11-01T01:10,3368288,2294101,2923950,1759114,2890242,1879909,2878050,2268472,2925621,2295541,1794755,1553609,2087959,2026179,2861762,2671182,2778058,2754223,2589210,1942075
2021-11-01T01:15,2860197,2994872,1495194,3570786,3649745,3222047,3627308,3322882,2621580,2841793,2638405,1565308,4221011,3534069,2090922,2748029,3147921,2366879,2515340,2492287
2021-11-01T01:20,2761677,3028301,1766089,2702931,2578027,1582237,2593496,2046647,3035557,3278009,2263202,2608961,4098127,3344876,2860091,3261308,2952611,2158595,3116272,2232102
