mtime,AR,AV,BC,BD,BF,BO,BS,BV,BY,CP,CS,DH,EF,EI,EJ,FG,FH,FL,FP,GY,HY,J,JY,KW,MO,MT,NP,NS,NW,OR,OY,QZ,SU,SX,U
2021-11-01T00:00,2986621,3812456,3185894,3704664,3966824,5921350,3538834,2767043,3834538,4907749,6611476,4993254,3349179,3320327,2823701,4171791,5511573,3025555,3499465,4554753,2896825,4242554,3078137,4096313,3565677,4162948,4924559,3227579,4367944,3659061,2886911,3660991,4957869,3807318,3307328
2021-11-01T00:05,4212089,3704784,3519333,2991751,3620309,3167527,3619681,3478310,4064962,3631223,3187467,4716829,4635828,4248502,3905074,3884083,5416672,4037172,4177788,3272300,3186362,2885715,3603755,2512980,3315767,4088365,5055671,3790403,3815611,3319838,2961688,5073553,5374786,4441166,3963407
2021-11-01T00:10,3068171,2903459,2669726,3588984,4394733,2956339,2680211,2666392,4029168,3293818,5591470,2986638,5063581,3266967,4274520,4146547,5047300,5239302,3632735,3496930,2176062,5250009,3190667,4808814,3872157,4303220,5866285,3640970,4106628,3149544,3956420,2783853,4826232,4131772,4854705
2021-11-01T00:15,5336755,3485778,3752242,3895887,5027079,3411525,4201998,2302657,3479893,2383177,3502030,4264592,4916763,3462562,3640715,4692729,4269857,5271319,5202162,3964625,3286312,3795469,2128157,3697584,3929116,4156324,6118349,4199392,5630854,3909795,3340144,3921515,5721496,3906296,4011367
2021-11-01T00:20,2808691,3688326,3473457,2632172,2332031,3889555,3422058,3080157,2695739,2345672,4087518,3199383,3530774,4559948,3853108,3793324,4165905,3675721,3475145,3520001,2775654,3593264,2570295,3603569,3542276,2956784,4075572,3243015,3319951,2418540,3725742,4587808,4983830,3585875,4611437
2021-11-01T00:25,2400612,3470303,2416995,3008467,3695590,3278835,2563644,3011914,4213532,3183487,3342932,3947376,4034846,3989604,3294592,4793556,2495389,3480422,3948302,2930703,2332563,3828902,1997064,3941500,3902957,2947591,3882892,3540973,3588095,3522511,4634276,5313574,3898400,3031149,3867083
2021-11-01T00:30,2940310,2926462,4617998,3589798,3566428,2776224,2463764,3426282,4270964,4340021,3779984,3837940,4961505,3200835,3391923,4984088,4465206,3940419,4261693,3688631,2946221,3032507,2676375,4087134,3928781,3032773,3849151,3575319,4042436,3164418,2978220,3537273,3116251,4042314,3664212
2021-11-01T00:35,2726405,3175572,4028765,3134961,3383312,2282897,2753573,3932675,3033417,4274020,4022157,5088929,4683196,4195793,3386538,3475987,3511035,3819438,4187108,3761623,3487919,2072509,3184110,3696594,3741685,4714355,4436931,2078959,3495047,2920528,4271058,3545803,4690114,4363126,3578134
2021-11-01T00:40,3836639,2502041,3937068,3568959,3190935,3669360,1552244,3727239,4094009,3525154,4358209,5002305,4551107,2236059,3543610,2910815,3947704,3566737,2491057,2620031,3067110,4171023,2897733,4031493,3561269,2797017,4040467,3370140,3432887,2489608,4955171,3776958,3918267,4507949,3873800
2021-11-01T00:45,4160262,2160498,4001297,3803788,4809575,3745549,2673237,3211975,3071357,5193322,2294786,4982100,3736475,3996289,4063130,3737080,3964548,4043965,3559816,5106702,3017505,3793536,3007001,4293719,2897006,3416916,5349498,3228414,4846127,3140854,3645524,3048854,4484207,4347137,3728566
2021-11-01T00:50,3721280,3102812,3313313,4288523,4509235,3981575,2936007,4574130,5525044,4866664,4673247,3801798,3102745,2250284,4469245,3396958,4447891,4113932,2864603,4394691,2935398,3458915,4252095,3591587,2732553,3088620,5283319,4575839,2700951,3283562,3790442,2689625,5014289,3732817,4189190
2021-11-01T00:55,4331900,3955986,3320757,3371553,3652025,2587881,3976168,3384914,4485988,4754627,4636781,6136374,3732974,1910762,2740433,3968649,4995577,3450123,3647328,3484223,2861785,3523645,3007158,4137859,3628375,3695651,4327474,6303977,2414735,2928148,3691900,3527965,3572273,2922628,3638341
2021-11-01T01:00,3622019,3293353,4290596,3082240,3719066,3465387,3514017,2900611,3428640,3260465,3150997,3158500,3918418,4356157,3553325,3631215,3454807,2508035,3616584,2475361,3157010,4366887,3896485,4152257,4022705,2889627,4592429,4003638,3810568,3182725,3321554,3394454,3358683,3914210,3542928
2021-11-01T01:05,3997711,2985913,3827443,4200427,3592160,3286888,3644622,4548497,3146061,3539985,5184997,3764888,3723491,3927525,3098970,4054622,3941233,4255026,2581334,4100720,2303361,3416683,3225051,3541370,2929563,4488561,4951552,3501690,4632083,1959796,3241817,2966875,3995466,3995404,4132470
2021-11-01T01:10,4759051,2522697,2368078,4066546,3511989,3511911,3732563,4782501,3044875,3542547,4477503,3053631,2850061,4391545,3790694,4594073,4372625,3379398,3785437,4024224,2163663,4548771,3598454,4578576,4321021,5593141,5180588,3450182,3886144,3027597,3966519,3512854,5144911,3711426,2496419
2021-11-01T01:15,3831399,4400656,3283314,3739274,2942670,2507546,2698738,4009344,4558083,3431634,3579301,4001855,3975609,3397677,4548075,4207068,4968414,2280090,2842103,4382005,3795350,3199736,3642836,2994510,5225148,4224483,3687053,3438354,5783649,2537958,3543202,3211294,3686554,1845189,2711544
2021-11-01T01:20,4455912,3593819,5384659,3731158,4039446,2354440,2578776,2774027,3040780,4422560,3146121,3742711,4663277,2457489,2732515,5291432,4102970,3744475,1979615,3238596,1778572,3351085,2936298,3061825,1789788,3402815,4756535,4237178,5207450,3389476,3964380,3293337,4234240,2366572,2781228
2021-11-01T01:25,4826691,2059532,4059574,3025881,3170400,2919563,4617694,3320518,3634362,5979895,5069258,4325483,3506278,3946311,4211572,5300666,4902692,2238744,3548624,3481185,2869023,3104472,3331341,3526626,4215238,4319167,5107898,3361088,5072958,3274020,4062323,3464603,2520490,2007275,3671575
2021-11-01T01:30,3493805,3359723,3492941,3392406,3092650,3293168,3874515,3235248,2853657,3430968,3628619,4091393,3521515,2982131,3120022,3911133,3717158,3146303,2750476,3014220,2630795,3724615,4855792,4009760,3363698,3199134,4009591,3177655,5448287,2774878,5268254,4685828,5059265,3415544,3860416
