site_name,AC,AT,B,BJ,CM,EJ,EZ,FO,FX,GS,HP,IT,JO,KY,NX,PU,PX,S,TU,UY
18,407,293,320,450,379,410,296,313,327,285,283,454,308,316,300,336,307,305,351,378
59,192,242,282,493,219,306,284,418,362,279,416,308,343,225,381,433,389,337,316,337
78,284,297,321,354,286,366,340,310,357,314,286,240,260,202,365,326,353,311,356,381
A4,201,321,238,255,307,339,436,306,343,265,246,328,334,253,371,314,237,318,398,254
A7,280,334,425,358,268,346,234,248,296,343,484,299,351,355,340,307,278,306,287,233
AD,383,355,398,330,359,210,253,300,235,284,366,231,376,297,364,380,332,406,180,309
AI,390,417,358,313,320,309,355,258,329,323,388,333,319,294,321,373,240,378,274,306
BI,295,282,346,348,406,442,301,260,375,341,304,285,229,277,276,308,339,345,351,302
BM,325,315,323,405,257,222,337,353,372,341,240,314,234,323,357,291,232,328,349,262
Bg,219,450,285,332,365,340,285,306,284,235,326,361,353,275,309,425,308,290,292,322
Bi,248,270,315,341,276,343,256,345,396,339,310,337,313,395,480,265,386,383,299,262
Bq,214,383,308,342,238,338,372,362,215,376,332,372,348,339,332,336,268,300,296,366
Bv,323,397,319,404,348,268,243,272,379,331,311,341,348,377,397,323,322,300,337,366
CR,394,301,319,198,331,253,271,275,309,368,308,327,364,366,348,228,226,260,299,225
CX,321,279,280,342,272,328,323,408,284,330,233,351,269,391,333,316,348,348,307,308
DX,316,356,363,356,283,365,363,371,265,286,240,321,330,393,289,306,194,399,349,261
De,328,372,258,298,336,406,351,296,349,282,327,347,387,292,238,321,298,310,363,233
Er,316,335,273,367,270,299,251,274,434,358,301,346,341,431,300,223,385,276,225,331
Ey,315,262,349,281,387,374,291,339,313,302,244,283,351,331,261,333,330,324,351,317
FH,362,329,392,281,298,309,397,480,306,256,328,215,312,338,297,310,311,363,332,282
Fq,355,350,360,405,286,384,262,330,252,220,432,378,325,320,332,381,339,341,395,301
Fz,351,312,298,370,242,366,278,323,395,260,354,259,345,359,469,407,299,372,312,244
G8,342,376,281,323,368,325,344,271,288,446,280,283,342,322,317,272,388,342,350,303
GQ,313,350,433,384,337,322,278,413,235,280,270,388,260,331,282,326,326,250,330,293
Gd,336,317,434,419,292,337,338,289,316,274,379,469,267,165,331,268,390,307,291,321
Gs,295,323,405,350,227,374,435,337,335,363,245,422,347,230,291,388,409,311,342,275
H5,414,259,372,327,320,308,454,236,343,279,383,424,276,269,291,310,341,267,289,306
HO,374,317,415,326,371,342,263,415,292,407,254,327,275,336,348,275,229,337,260,347
Hg,410,308,365,284,279,325,269,290,384,230,356,344,284,333,311,375,412,339,404,363
IM,297,302,235,369,261,275,325,303,305,444,355,286,302,373,366,325,290,334,368,207
Ig,348,292,368,353,351,291,357,312,288,344,253,287,267,305,306,317,366,322,352,314
Iv,342,402,354,346,342,364,282,239,331,371,421,284,268,290,356,366,352,290,315,318
KS,344,290,365,388,361,283,421,219,326,379,277,341,311,304,288,276,347,341,367,452
Ke,309,340,271,399,340,343,410,321,333,286,398,286,324,340,392,396,241,330,272,277
Kr,314,378,361,396,370,239,289,303,316,320,339,375,326,359,338,336,354,346,298,357
Kw,316,282,330,301,335,291,316,260,328,343,301,362,309,384,408,235,368,349,291,326
LO,255,400,367,261,453,302,358,310,268,338,325,368,265,304,230,367,326,279,313,354
Ls,302,283,344,330,271,270,306,283,262,386,288,327,314,358,322,301,304,321,338,298
Lv,359,370,253,321,365,326,259,338,273,350,337,344,312,274,394,413,337,358,306,329
M1,354,363,353,285,251,378,361,289,308,351,310,347,295,276,366,362,280,267,367,312
NV,418,276,335,396,292,361,392,323,276,373,298,290,268,312,271,344,353,337,299,308
Nf,310,337,323,333,319,377,386,280,337,238,411,382,385,321,256,369,304,316,317,299
OY,332,357,317,354,325,280,358,357,302,378,377,341,314,284,337,316,346,379,351,251
Ok,300,240,335,268,274,247,308,332,395,348,230,379,408,298,385,351,375,285,322,301
Op,301,282,250,266,279,277,376,319,319,244,271,335,232,296,296,246,291,310,357,344
QV,355,256,296,381,358,279,424,272,304,443,348,271,299,303,395,260,329,320,325,206
Qa,270,275,365,351,301,326,264,344,348,302,300,274,282,372,324,275,341,340,280,275
Qf,365,322,342,277,355,387,304,274,353,293,331,293,261,381,284,350,296,338,314,415
Rm,303,342,453,307,402,254,258,377,258,345,355,311,386,304,386,329,350,333,277,401
Rv,298,283,333,339,355,427,325,444,286,310,351,337,329,344,318,277,226,244,293,282
Ry,300,244,294,272,280,369,334,398,357,427,337,370,291,275,289,285,414,284,286,393
S1,262,317,370,299,384,336,255,340,334,375,236,421,331,396,300,345,338,393,230,407
Sd,248,311,338,287,338,327,259,366,303,340,216,253,410,378,409,312,291,263,217,357
Si,291,287,350,301,321,360,263,390,338,336,262,364,374,378,348,398,452,449,268,368
Sv,288,352,280,230,394,420,299,432,262,305,361,252,400,252,260,356,344,330,331,384
Tf,376,277,328,318,335,243,307,325,340,361,398,315,309,382,342,272,346,313,263,243
Uf,293,240,295,245,275,341,343,300,396,307,363,230,413,324,335,323,318,352,367,324
Ul,328,355,260,333,367,433,309,314,333,276,338,362,316,393,301,314,287,331,310,319
Un,311,231,412,383,262,363,342,315,383,346,337,334,321,341,273,346,424,303,297,341
VZ,368,342,338,414,257,317,327,266,290,342,264,292,314,364,378,329,350,343,342,363
Vt,341,294,348,272,330,305,345,341,339,357,457,387,411,290,354,399,343,320,312,450
W7,308,256,386,244,397,233,353,320,310,368,307,315,428,320,305,314,289,393,328,330
Wf,290,348,367,322,373,235,336,366,358,296,237,281,375,316,341,246,333,410,351,343
X9,386,235,447,331,295,369,425,370,358,304,196,404,244,372,303,265,332,317,285,347
Xl,352,396,407,365,224,276,283,224,314,234,290,268,332,300,324,322,250,327,299,364
Xx,315,347,370,277,229,328,343,349,250,315,333,243,335,224,364,385,322,421,390,283
Y8,271,301,346,301,199,350,371,350,368,309,357,292,309,268,323,286,287,325,316,285
a5,223,349,302,297,359,340,292,293,309,420,239,333,326,358,209,303,410,276,324,406
aq,319,253,304,315,336,345,343,335,331,374,362,371,219,414,371,370,380,277,401,394
bg,208,280,275,331,291,341,301,307,283,321,388,244,349,358,274,304,397,359,249,369
by,377,352,323,359,320,394,319,314,324,324,395,308,315,275,351,275,413,345,304,344
c4,352,337,328,371,378,283,283,320,256,394,323,337,441,328,292,386,352,380,282,263
cn,260,284,341,340,263,343,349,234,353,235,253,351,266,300,328,289,299,325,313,332
ev,340,291,377,349,280,332,331,260,308,233,439,268,284,389,362,247,415,253,265,310
f9,400,381,346,311,308,328,362,316,336,279,408,353,324,312,259,333,285,325,315,339
fs,399,364,332,350,353,318,314,341,255,314,354,365,268,275,298,284,370,343,246,342
gq,247,309,320,341,291,384,346,323,334,340,343,335,288,410,246,297,360,358,326,427
hn,351,378,244,310,295,424,388,227,358,286,154,275,338,287,286,292,305,335,333,292
i5,326,298,335,262,378,279,349,331,415,392,425,299,320,338,295,339,215,338,433,313
i6,334,336,340,454,269,384,402,399,344,414,335,277,308,303,350,341,409,225,246,335
js,435,362,310,310,361,416,394,250,302,386,341,323,298,326,329,394,310,380,268,293
k1,284,366,311,292,319,413,301,258,343,305,373,303,275,333,324,284,315,325,327,315
kr,377,336,362,326,276,345,325,411,236,242,368,348,371,344,353,362,384,292,319,302
