mtime,AU,BD,BN,BQ,CP,CZ,DP,DZ,EM,EO,EP,ES,FM,FN,FZ,GM,GN,GO,GR,HI,HY,IZ,LU,N,NO,NZ,QT,QY,R,RU,RY,SY,UW,X,XY
2021-11-01T00:00,3861030,3802916,3239002,3105349,2851464,3636170,4297045,3352228,4372152,6030532,3439587,2305614,4379554,3294493,4042574,4215500,3586395,4768766,3661581,4215940,2753524,5250711,2985558,3752158,2142515,4794502,3084666,3318177,3725223,4352184,3582657,3280709,3632817,4235740,3113422
2021-11-01T00:05,3136889,4544836,3264987,3845033,3493315,3410691,3377368,3302852,2558175,3995756,1989606,3967110,3986035,2879530,4745961,4560568,3191565,3367412,4728040,1757141,2800569,4078199,3946244,3440539,2605888,3670552,2823743,3360719,3330622,3719897,3477885,3442508,3046402,4119275,4410570
2021-11-01T00:10,2621515,3610471,3996076,2592897,3117425,3150037,2312069,3759510,3114011,3560400,3878265,3142895,2883872,3148681,2635783,3130644,3411421,4346637,3122573,3180063,3301066,2485993,3801559,3279632,3391235,4949086,3786817,3763353,4253933,4258676,2402075,4467912,3087523,2370752,3308259
2021-11-01T00:15,4161165,4597966,2975808,5036505,3859291,3101179,3960965,2893923,4175923,4348988,2375155,2490252,3098713,2491562,2801686,4252656,3175397,3322447,3099922,3281184,2323260,3453458,3402185,4111184,3514110,3996058,2996583,4089283,3561552,4085094,4969203,3713024,4305803,4482686,3928728
2021-11-01T00:20,4373176,3749530,3514421,3097080,4433354,2455283,3933490,2305277,3899940,4372427,4060833,3138667,4294591,3982291,3795223,3832108,2881635,4180232,4566861,3453330,2548067,2403137,4110057,4424695,2283658,4781091,2294818,3312051,4290938,3374290,4467199,4714059,2812526,3717820,3058930
2021-11-01T00:25,1929622,3472036,3310602,2510061,3252071,3101691,4171502,2494011,3266248,3799271,4051434,2624579,3762631,5292644,3194292,5675553,4150135,4646840,4167833,3808339,3222235,4298638,3971997,4627594,2654675,5303023,3601714,3323518,3819017,4225158,3668962,3201668,2110182,4401211,3518287
2021-11-01T00:30,3981167,3699320,4748486,3654537,3697610,3544949,2784296,4184630,3830861,5166522,2853005,3112533,3061233,3108194,4469398,4145038,3991800,3805558,3848544,3336711,3185336,3799438,3888210,4615881,3507141,3798314,3109818,4431141,3433446,3051078,4924562,4013601,2120098,4013412,3260009
2021-11-01T00:35,2825937,4154479,3478733,3489800,3565359,2913025,4319779,3759919,3197263,4520704,4137334,2403192,2304926,2887674,3350465,5312772,2844075,4711797,4664759,4805514,3142399,5294118,2921389,2821284,2876020,4881469,2615172,3493141,2854598,3873426,3995408,2771722,3228038,5103805,4136813
2021-11-01T00:40,2179464,4480138,3687389,1439681,4651611,3026233,3983634,4374368,3366594,4849248,1900773,1919698,3329360,4184124,2125271,4309911,2445916,4115426,3552795,2959570,3909870,5814894,1740190,4400350,3299250,3858117,5129797,1586382,2534423,3644068,5031645,2857209,2480665,3830299,4955744
2021-11-01T00:45,3262331,4049014,3327748,1651637,3356619,2980885,2926847,3414273,3368872,2878953,2267824,2592622,4430803,4595531,4412615,5101919,3403990,2042507,5018440,2849002,2957125,4012799,2996739,3033976,4233509,3552559,3528815,4179726,4081077,3684279,4718285,3871666,2415825,4527494,3142382
