mtime,BI,BU,CW,DV,EJ,ET,EW,EX,FM,FO,GI,GN,IO,J,JS,JT,KT,LZ,MX,TU
2021-11-01T00:00,2382059,2968565,2329318,3083072,2133896,1028815,2462912,3563708,1858343,3125089,1798505,2628392,3126504,3570093,3329165,2885294,2423446,2843332,2403065,2170082
2021-11-01T00:05,3976360,3202330,3513674,2904779,3016410,2142636,4180479,2182590,2381925,3069601,3327544,2472885,2935006,2889839,3661046,3441067,2708304,2829164,2141017,2833366
2021-11-01T00:10,2832791,2209762,1737363,2464213,2785213,2018455,2249435,2097883,1901269,2693861,1568392,2703302,3468191,2413478,2602974,4135682,2072229,2227601,2197923,2109573
2021-11-01T00:15,2485382,2718599,2801162,3229391,2063783,3240834,3119156,3164741,2498060,2641607,2229386,1709876,3871636,2932291,3091041,1686283,3081582,1862938,2080501,2631144
2021-11-01T00:20,1809066,1376780,2330706,3091271,2440676,1774353,2169958,2617244,3280966,4478505,1926415,3244216,3347976,1813053,2722113,3667369,1926411,2936793,3211250,2817039
2021-11-01T00:25,1485129,4186051,3125921,2561237,3097684,3157693,2341991,2426078,3329282,3776012,1600532,2278902,3270108,2907192,2253041,1679775,3011726,1481460,1765415,2757433
2021-11-01T00:30,1790308,3375861,3158769,2340698,1930056,2347595,1474703,4154943,2994267,3116368,1889255,1763713,2056886,2550416,3013673,2374970,3456133,3331154,2991988,2761135
2021-11-01T00:35,2025599,2835509,2000172,3268593,2978564,2971755,1596826,3275167,2953998,3038359,1813977,3665958,2985378,2439869,2522414,2094985,2929296,2599575,2690209,2622211
2021-11-01T00:40,3012065,3257822,3002944,3669817,3199597,2793624,2415685,1806853,2524942,3711141,2950009,2600118,2757828,2150074,3062652,3439285,2590144,2001172,2237866,2821873
2021-11-01T00:45,3027400,3242739,1171061,3142451,2633075,2254494,2951604,2970577,2240391,2309891,2088385,3984165,2185543,2927102,2351510,4371142,3359721,2929038,2742050,1499407
2021-11-01T00:50,1743536,2294023,3443295,3806633,2203984,3242494,4261000,2808370,3120092,2341481,2805839,2703836,3394524,2894735,3920179,3647354,3782583,3325562,1941260,2817991
