site_name,BI,BU,CW,DV,EJ,ET,EW,EX,FM,FO,GI,GN,IO,J,JS,JT,KT,LZ,MX,TU
23,256,262,329,334,366,269,229,275,424,311,326,371,292,365,279,330,445,332,335,270
26,367,351,337,273,267,323,356,318,271,283,277,267,364,302,264,301,295,329,317,275
79,237,259,231,305,319,331,359,257,288,327,293,388,272,320,269,257,201,324,246,349
A2,296,372,290,289,369,324,212,288,318,326,321,307,269,302,390,305,329,366,346,357
Am,216,282,313,241,421,327,330,340,314,248,342,303,300,304,275,336,307,393,210,338
At,353,444,300,361,330,371,249,359,267,330,361,343,310,263,323,234,285,390,280,106
Az,344,334,382,414,281,258,363,326,303,345,288,308,338,428,290,337,386,294,310,294
BI,427,293,361,294,329,239,334,318,299,256,321,323,270,253,301,319,185,284,303,282
BQ,383,308,345,353,380,299,335,230,319,352,393,420,284,320,268,283,318,289,317,289
BY,320,308,265,266,356,362,364,334,332,346,315,349,244,275,269,287,311,366,376,363
C5,337,313,348,373,296,361,223,412,289,253,329,273,363,291,292,302,299,284,305,344
Ck,324,205,330,277,289,307,270,329,300,320,250,224,362,297,417,342,295,276,349,335
DP,298,269,297,277,300,355,278,238,309,332,369,351,352,420,352,369,315,322,424,292
DX,287,270,253,308,292,354,239,263,356,258,320,237,326,336,407,313,268,424,268,332
Da,344,320,296,316,231,363,271,364,398,391,349,200,305,342,368,321,257,378,398,342
ER,190,288,336,310,386,302,300,313,232,344,346,336,318,298,288,317,241,295,339,277
Ey,290,218,301,368,379,281,310,388,321,359,314,298,389,329,232,319,345,320,363,293
FI,358,350,313,352,283,317,304,302,248,340,267,284,259,310,316,326,323,309,277,291
FO,350,286,403,319,386,273,336,375,371,332,371,402,280,304,296,329,314,329,273,386
Fk,399,352,263,361,326,336,321,314,318,266,199,328,247,312,344,339,418,287,305,273
G8,262,329,367,354,364,303,310,275,272,356,238,304,335,285,332,302,291,293,352,367
H3,279,311,325,287,270,281,422,374,332,387,344,397,296,272,329,342,279,344,363,358
HL,258,328,234,317,285,275,310,287,378,316,265,288,326,231,290,364,303,293,334,322
Hc,330,396,339,396,202,286,225,308,267,394,227,315,366,397,394,318,316,376,253,439
I4,376,259,333,264,338,263,406,286,207,302,318,263,304,287,272,320,372,308,424,254
IS,247,292,252,416,240,297,305,277,167,312,317,389,299,286,360,320,308,378,297,287
Ik,352,297,311,392,304,323,243,383,318,344,298,268,293,258,280,304,312,314,329,327
It,359,309,289,333,338,312,303,208,422,301,367,278,287,341,368,411,302,358,362,298
Iu,332,297,341,300,397,345,301,341,292,326,311,264,278,278,292,387,282,274,289,288
JP,259,317,296,288,295,428,260,324,297,334,284,383,444,333,301,331,356,333,282,416
JX,413,303,285,299,318,410,293,313,241,272,278,309,306,220,366,269,241,334,341,291
Ju,258,206,319,252,251,294,349,348,401,255,341,266,281,285,329,286,241,311,315,253
Jx,293,286,284,243,298,307,352,348,350,332,327,262,392,229,352,395,252,365,331,329
KN,295,417,326,238,370,231,342,260,311,336,464,359,287,408,380,259,354,310,263,366
Kd,283,347,302,297,308,313,298,287,304,309,325,326,371,378,344,249,374,334,227,363
Lk,314,342,377,365,281,272,316,353,288,326,274,340,262,332,373,308,382,278,419,325
M6,382,354,274,330,384,379,372,351,220,376,300,290,317,400,310,340,242,230,382,310
MR,316,234,230,268,402,340,319,348,254,290,334,296,323,292,294,213,285,330,295,354
Mm,284,353,287,357,344,299,350,277,396,282,198,280,256,350,381,255,330,323,225,348
N5,295,271,361,360,306,380,326,287,281,303,343,414,351,351,336,318,316,226,315,361
NO,246,246,273,319,363,344,328,300,329,364,324,276,386,361,331,345,315,255,222,407
NQ,293,401,364,400,263,297,305,286,331,258,312,340,306,292,324,354,305,397,212,224
Ov,387,361,322,315,274,266,283,313,380,301,318,379,350,280,348,258,280,315,312,333
QT,339,238,319,346,418,427,258,303,267,267,308,291,363,315,387,306,267,247,343,314
Qb,330,360,289,236,314,310,309,261,332,274,251,327,340,223,315,319,289,326,319,341
RU,334,235,279,263,294,346,363,268,334,308,345,337,316,287,355,308,285,334,321,229
RY,270,358,200,318,306,261,267,316,359,349,275,313,265,383,306,234,309,367,301,291
Ra,269,381,332,374,273,356,413,265,321,339,326,330,224,392,345,233,278,386,356,327
Rc,356,253,291,419,227,380,343,310,287,269,330,395,349,306,245,284,258,313,277,332
Ri,256,359,317,265,336,307,307,371,387,293,394,344,237,286,334,356,357,339,446,231
S1,235,376,313,315,343,344,370,295,263,311,407,316,281,376,258,318,427,227,248,294
S2,333,371,348,294,350,267,317,271,308,326,344,313,290,266,250,305,298,299,442,219
S5,330,365,238,261,334,307,318,355,344,299,310,336,415,387,261,301,307,314,331,353
ST,306,258,383,259,371,322,423,304,337,300,340,465,361,319,387,263,283,336,282,312
Su,263,257,279,350,282,271,332,285,302,280,290,403,302,303,275,205,311,316,297,359
Tb,342,257,330,300,323,340,360,341,364,292,247,263,320,239,270,291,332,320,267,328
Tn,329,320,272,233,277,298,322,297,354,308,377,332,311,312,405,302,403,292,395,279
Uw,399,341,303,284,358,336,367,324,350,326,338,298,339,445,325,416,311,327,325,314
Uy,288,378,313,335,311,326,291,272,292,367,411,337,292,305,279,325,409,410,275,337
V5,471,362,274,384,246,380,242,214,370,256,330,311,274,340,268,316,332,345,334,187
Ve,321,351,337,313,289,380,400,337,362,263,282,348,299,256,259,255,328,390,330,312
Wd,330,337,469,286,224,332,218,395,347,306,315,360,290,262,273,247,305,313,326,288
Xl,325,344,376,304,355,340,304,280,231,320,325,232,366,395,296,328,332,231,388,306
Xo,332,322,254,317,401,279,322,326,325,303,369,292,250,217,350,264,301,284,397,266
a4,425,328,290,295,255,295,333,344,279,347,359,335,350,394,317,289,332,268,257,344
b8,345,335,378,286,323,360,445,262,317,361,395,316,291,322,263,317,340,261,246,322
b9,306,371,316,269,313,432,258,325,343,373,262,307,262,348,416,298,200,309,293,323
ck,286,242,333,286,256,312,271,281,208,272,315,298,380,337,358,327,365,285,322,294
dk,261,370,287,420,290,338,300,281,314,198,319,261,368,287,321,264,359,382,345,331
