site_name,bandwidth
23,1617033
26,1576568
79,2019545
A2,2080494
Am,2041044
At,1625120
Az,1712472
BI,1838400
BQ,1634494
BY,1575567
C5,1922124
Ck,1955025
DP,1673620
DX,2382899
Da,1221370
ER,1886160
Ey,1657060
FI,2245998
FO,1422688
Fk,1615615
G8,1842665
H3,1527098
HL,1770797
Hc,1423048
I4,1791172
IS,2101952
Ik,2028327
It,1963682
Iu,2041903
JP,1648572
JX,2112965
Ju,2108895
Jx,1710937
KN,1646090
Kd,1713070
Lk,1534578
M6,1426005
MR,2005359
Mm,1741825
N5,1563819
NO,1467927
NQ,1868560
Ov,1896448
QT,2068763
Qb,1748569
RU,1714942
RY,2461034
Ra,1051289
Rc,2053484
Ri,1971165
S1,1774944
S2,1816783
S5,1584218
ST,1673175
Su,2575755
Tb,1635307
Tn,2037442
Uw,1176282
Uy,1667163
V5,1982734
Ve,1673095
Wd,1882427
Xl,1568532
Xo,1713598
a4,1744698
b8,1209444
b9,1806015
ck,1961544
dk,1809005
dp,1971839
dv,1882887
eo,816552
er,1618998
f5,1856124
fq,1774824
gi,1793215
gj,1549245
gp,1701639
h1,2830414
h5,1582415
h9,1566725
hr,2179952
hs,1884993
is,1262189
j8,1549753
kr,1358994
l2,1725485
l8,2012249
lo,1913192
n9,2121969
oy,1646792
p8,1717404
pq,1557027
qt,1733974
r4,1877547
u7,1755003
uy,1673994
v4,1924634
y2,2187532
y8,1589367
