mtime,AJ,AO,AV,BJ,BX,CE,CI,CM,DG,DR,DX,EW,EZ,FV,G,GM,GX,GZ,HN,I,JP,JV,KY,KZ,LU,MP,MR,N,NO,OZ,P,PX,RT,UY,VW
2021-11-01T00:00,3680185,3020046,3100123,3488507,4462894,4012448,3945331,2365403,3194312,3950560,3545488,2911447,4534746,3936291,4482938,3107208,3464594,4003148,3030075,4876294,2922865,3439077,4208056,2885102,3391126,4048329,3927827,4054094,3010215,3433936,3904422,3184038,4380613,5183412,3383257
2021-11-01T00:05,2756235,3346204,3034938,3764883,3311796,4685882,3786276,3765453,3471183,4868519,3736305,4044438,4600070,3836832,4362461,3398939,3554851,3701129,3477553,4008533,3614763,2965444,4215940,3539796,3378896,1961442,3028557,4484452,4247499,4115549,5244898,3616417,4684030,3925748,5781043
2021-11-01T00:10,2321063,3208650,3432204,3201082,4072144,3741869,4277454,2642525,3743235,3819235,5117025,3257550,2876657,3568775,3902814,3186177,5197075,4778568,4327381,3747295,3817876,2264948,3185223,3397853,3258787,3389753,3730629,2699378,3612503,3596627,3351571,4672401,4585372,3824107,5329393
2021-11-01T00:15,2646979,4740370,3132457,5124653,3201090,3978716,3656924,2756433,3604045,2589515,3418245,4566488,3130137,2908973,3154222,3363539,3326521,5239716,3497664,3362329,4513299,3613384,3264882,3300582,3555700,2461062,3555603,4946197,3684329,3584196,4357807,3734851,4171896,2636509,4321916
2021-11-01T00:20,4167003,4271904,3740220,3218156,3546926,3372356,3941882,2582364,2712918,3894540,3263492,3114048,2300498,2434740,4034021,3429776,3576275,3094442,3568753,3418224,3480370,2480838,2660468,3812675,3869600,2752776,1901155,4855912,5080795,4713798,3384638,4068271,2636349,4661722,2426452
2021-11-01T00:25,3084095,4682792,3872221,4548893,3569127,2846906,2690108,3317467,3573434,3876744,3133867,5018536,3128150,3540408,2359165,3587410,2727528,3376437,5217043,3716282,2926275,2427414,4130221,3406475,3956354,2903999,3039927,3954708,4332412,4085237,5136344,3483908,4351580,3293187,2393329
2021-11-01T00:30,2511739,4602185,3037125,2746966,3143104,4037047,3228833,3408724,4113672,4338481,3400599,2126454,4817728,3662168,3052844,3825697,3147343,3657013,3024812,2562839,3930443,2720386,4292129,4056262,4396096,2272634,3572391,5054142,3760122,4202333,3619238,3886204,2301040,2525957,4301491
2021-11-01T00:35,2938718,4264163,2185620,5147751,4181447,2932229,5193373,3290306,3797149,3731185,4104373,3631335,3750187,3291055,3656878,3995633,2511397,3865242,3541924,3693158,3275809,2850199,4910596,4887392,3528706,3809103,3177903,2727160,3797931,4983765,3583437,4055998,3260178,3877125,5298197
2021-11-01T00:40,5095085,4352572,3269457,3017549,2389235,3351839,4108131,3637539,3134060,3006409,2679425,3911706,3881463,3511657,2984930,2612886,3388914,2368972,4504051,3499937,3639003,3130770,3026640,3116092,3494177,2419675,4227856,4245308,3483437,2768748,4159069,4771083,3575173,3402260,3590797
2021-11-01T00:45,3810592,4755684,2876742,3175250,2918362,3901612,4564721,2201864,3462853,3202162,2699884,3335137,4646878,2460476,3460012,4232690,2786293,4112084,4141249,3200619,2413185,2212614,3231064,2554736,3206225,2580317,4192422,3234190,4109831,3729857,4786580,3605224,4082797,3399407,3560231
2021-11-01T00:50,4621089,2927930,2354417,3834540,2242152,2096298,3092076,3093951,3737856,3429768,4547582,3109630,3008270,4695104,3755429,2939456,2155203,3801596,3307851,2210363,1527506,2059954,3706319,4046523,3311150,2463926,3066464,3358616,4294101,4013899,4197922,4804267,3981063,4124654,4526578
2021-11-01T00:55,3509221,5658378,2825725,3800078,4009156,3516114,4628620,2914442,2649006,4841102,3690417,3522221,4448335,2569923,4170987,4027144,4972781,2586126,3373422,3469178,3670820,3514831,3694185,4229478,3568966,4874810,4000015,3863025,2760455,4841837,4513918,2629449,5256702,2547180,3645535
2021-11-01T01:00,4594485,4702552,4171687,2320572,3673038,4300851,2809728,3468703,3161560,3738423,3104489,3840146,3574020,2965888,3818690,3387899,2316258,4178876,4282981,2724974,2324202,2238511,3497295,2818915,3038431,2912703,3420161,2446755,2060498,3694015,5535740,3205658,2652695,2745602,2579403
2021-11-01T01:05,3680665,3350097,2520573,3111590,3725300,3579891,3996096,3194372,3719009,2309176,3863773,3864666,3628844,4207707,2592437,4156569,2949029,3863350,3003561,2216894,5131223,3429445,5040068,2913502,2457868,4195623,3472436,4991606,4164142,3552778,4408241,3336157,4506470,3760565,4826034
2021-11-01T01:10,4669362,4335423,3265769,3284413,2507725,2370543,3058967,3135624,4143262,3934436,2211296,3010119,4797843,3165754,4369306,3817092,2220607,3282915,4247196,4126808,2310496,1837013,3879288,2685148,4245192,2776508,3920436,5548491,5035844,4582195,5261466,4381665,3383030,3263068,3205808
2021-11-01T01:15,2394703,4697461,2608592,3823072,4014708,3483564,3231854,2327052,3286515,3150288,2961917,2365742,4279328,2999759,3648276,3599628,3515412,3960674,5149129,4997258,4050298,4022797,4211247,3499707,4423513,2624446,2825047,3713540,5349469,4055926,5348487,4109030,4088532,5105203,3802521
2021-11-01T01:20,2536298,2740727,2695449,2500006,5258716,3959395,3829941,3979740,2170311,3171159,2448509,3170992,4179601,3409634,4265365,2791438,3224582,4283113,4881044,3860166,2511748,2032004,3290012,3771450,3656464,3393959,4395262,3039089,4216674,3312599,4481169,4317077,4335857,3373925,3528561
2021-11-01T01:25,2788269,3622774,4050574,3238723,2577516,3900988,3203566,2673103,2711359,2848125,2620881,3079280,3953320,2628380,3769299,3573536,3198644,4173906,3060786,3859657,3208550,2860864,4576572,3073372,3632228,1725666,3123140,4585240,4268474,4287918,5139954,5794043,4101312,4162508,4314255
