mtime,AL,CX,DH,DW,ER,FI,FS,GP,GX,HM,KL,KT,MU,OS,PV,PX,PZ,RW,V,WY
2021-11-01T00:00,3060439,2459431,3165992,1999369,1970386,3078589,3071163,1945237,2115363,2602283,2876078,2962978,3223156,2824738,3205809,2762898,2646097,3053276,2391298,2048113
2021-11-01T00:05,2897397,4107606,2407422,3155599,3517748,4068768,2715225,1546127,1971017,3872593,3725255,2851185,2669230,3159522,2518945,2712677,2208338,1346026,3516241,2419452
2021-11-01T00:10,2595070,2304592,1207798,2253707,2289658,4381540,2440098,1115738,1963914,2292555,3021034,2414630,3525669,1906844,3286959,2620509,2790809,2895077,1667441,2855380
2021-11-01T00:15,1997314,2893717,1824991,1663104,3394316,2361724,3612029,2430774,3737097,1963895,3099626,2200708,3139667,2952470,3134567,2060574,2576589,3906615,2609065,2860759
2021-11-01T00:20,3342949,2701516,2466449,2834239,3635148,3808713,2432945,1021158,2312052,2593659,2286544,2486745,3715093,2778304,3644289,2807276,3820744,2694285,3022916,3065007
2021-11-01T00:25,2098966,2725876,2348954,2418596,3427442,2919184,3363529,1664970,2538228,2109900,2769328,2088493,4224225,2421278,1935043,3910742,2121852,3988862,2872602,2447093
2021-11-01T00:30,2053989,2205997,2674865,2617061,3507307,2422925,2513365,1614197,1690294,2034907,3017867,3751599,2921761,2654875,3183788,3576863,2431681,2825048,2430054,3449062
2021-11-01T00:35,2865548,2897446,2500033,1408711,3185514,2763944,2794776,2487077,2713002,2037604,1651005,3312404,2091016,2831121,1605703,2826796,3606681,2398129,3396810,2361021
2021-11-01T00:40,2871505,1268708,2350871,2404232,3135019,2610821,1999599,2152969,3004305,2387522,2762608,3168048,2502132,1719606,2110961,3487984,2701529,3273872,2700874,3212317
2021-11-01T00:45,2135056,1460216,2457629,2818065,4002385,2618834,2817112,1159285,3027016,2306364,3454360,3632040,3794185,1885726,3025888,3642397,3165931,3040812,2759339,3066107
2021-11-01T00:50,2316500,2458780,3413372,1205969,4387812,2323653,1982944,2987602,2453440,2010830,3194851,2216690,3301115,1603403,2228535,2979126,2257832,1848695,3314732,2943827
2021-11-01T00:55,2342279,2190839,2102621,2867237,3228831,1781192,2955947,1593875,2702510,2851532,2690190,2684956,2339681,1895353,2222786,3576398,2322036,2217731,2761086,2644852
