mtime,AG,AH,AK,BR,BY,DG,DK,DZ,FH,FX,G,GR,GX,HI,HP,HQ,JN,JW,LQ,LR,MR,MV,OR,OT,OW,PS,PV,QZ,S,SZ,TW,UV,UX,UY,WY
2021-11-01T00:00,4896413,4133692,3678007,3460220,3847823,3213097,4781495,5372834,6094627,3195991,3983382,4182347,4955809,3766161,4043113,3944434,3892209,5022579,4199253,4048420,2530229,3749335,5751658,3477544,5107919,4322605,4560113,2867742,5053221,1742969,2805580,3274433,3598619,2156410,3855785
2021-11-01T00:05,4867807,3297483,2616545,3802110,3125185,3746690,4235904,3425642,3665650,3024691,3373884,3505387,5811929,4041126,3098726,2961130,3498691,3883833,5204519,4367737,2878865,2906347,2366364,3272938,4898781,3095286,4977574,2864072,3622945,2959015,2921741,2504352,3413133,3811919,4441022
2021-11-01T00:10,4646892,4459906,3290763,3888241,2900144,2431391,3535760,4926738,5470109,3696135,3944966,3817107,4366407,4548486,3412864,3685427,4886208,3724216,3011512,3901334,3451360,4107596,2286143,1476937,3350664,3694559,2734083,2929032,3967668,3961416,3369482,2504142,4352653,4155644,2911614
2021-11-01T00:15,2486389,3134709,5080350,3664526,3958339,2153211,3117164,4379752,4874833,3767278,2679313,3420960,3088702,3362637,2383186,3839650,3892789,3049366,2548727,2883378,1909570,3547984,3600810,3175256,2211867,3490400,4096658,4084216,3521672,2992729,2941230,3771922,3597966,4678013,5218819
2021-11-01T00:20,3974875,2308478,3760829,3504221,3277157,2863589,4903565,4960287,3791012,3599606,2882628,3616429,4386982,4042447,3334038,2661095,3384557,3966542,3033014,3477996,4330155,4166503,2493274,4803229,4518658,3641852,4621244,2687336,3832477,3487095,3814928,3976857,3936568,3918506,2385637
2021-11-01T00:25,3507430,3483076,3799445,2019670,2968608,2854862,4286793,4716139,4749154,2886877,3388168,4012402,3617602,5107893,3251891,3526646,3754310,3843787,3972501,3211341,2598033,4406600,2572686,2988327,4646791,3856922,4470225,4152743,3801984,3501085,4099981,3706646,2883600,3143009,4788114
2021-11-01T00:30,4359378,3212563,3493073,4995600,3419998,2235775,4718736,4949225,3742813,3519474,3814642,3608174,3852999,6000218,4727434,4651540,3450427,3427412,3350771,3301218,3924091,3552513,4162900,3348708,3348489,3768006,3145726,3744166,4388726,2697941,3295390,3222693,4255423,3963371,3120472
2021-11-01T00:35,5274151,2958886,2696313,3074700,2238030,3625758,5678932,3968247,4641763,3940083,2388737,3471749,4386521,4043767,4535653,4326493,5766994,4587631,4714387,4077876,4017748,5750505,3112952,2910987,4309056,3360004,4039141,3304232,3444848,2585690,4448273,3439280,3695146,2757074,3259921
2021-11-01T00:40,4329312,4015541,5142147,2441030,3414963,2311160,4180666,4539645,4247118,4701895,4039660,4598572,5007420,3834647,3139373,3403820,2858187,5119033,2757660,4625978,3395652,4097115,2778071,3324255,5385788,3187710,5067032,4029835,4121116,3332904,2230501,3543426,3729935,3334147,3342115
2021-11-01T00:45,3460623,3732116,4561737,4520619,3608665,3329474,3380262,5750032,3870977,3007071,2622637,3113570,3566079,3384134,2774137,5527034,5401831,2421706,4594154,3465233,3962235,3466916,2970513,2381799,3699604,3463789,5503810,3521121,3757504,3378479,4318941,4056008,3578583,2289849,3514548
2021-11-01T00:50,4975655,3702845,4696953,3246922,3620741,3019404,3592491,3029610,4454065,3500951,4178290,2357849,2828045,2744636,2836894,3127337,3071277,3987026,3788807,4536313,3932666,4798420,4458831,3122681,2728755,2681706,2442558,2244263,3652094,4247798,5566087,4387082,4577403,2972682,3321139
2021-11-01T00:55,3032826,3990572,3419300,4115464,3323767,2029523,5618267,4070329,2956710,3254200,4038501,3840513,5149394,3766229,2719759,5327469,3664894,3354079,2531851,4232502,3459360,5005861,3022340,3499110,3750879,3530512,4558478,3234824,3642090,4216420,4605194,3084060,4065011,4102725,4230224
2021-11-01T01:00,3641366,2896151,2989449,4455913,4699522,3053663,4514360,3053034,3403483,3336868,5386092,5640940,3840319,3207716,3153291,3926158,3956897,2496354,3514059,3849949,3381802,4565554,3001593,4692665,4054720,3234925,4777776,2714034,4080517,3766642,2524690,2780066,3815675,3757542,4967982
2021-11-01T01:05,4527324,4635424,3222899,3488269,3859368,2904951,2793362,4697666,3928658,3174395,3114638,2503281,4414323,4672510,4082066,3860582,4320689,3947414,4174057,3238253,1973327,4182724,2967746,3916842,4022524,3808048,3820303,2515024,5610999,2426608,2932263,4803483,3969624,3033860,4112229
2021-11-01T01:10,4478259,3634964,3233305,4019379,3233141,2776877,5500804,4666561,4873760,2466329,3542984,3750283,4094528,2710175,3983823,3253340,3503923,3747071,3844657,4026882,2738387,4665481,2457614,3816335,4565352,2913556,3516784,3939061,2411016,2509364,3134837,2888119,3430823,3368752,2729875
